"variable","mean_abs_shap","species"
"land_cover",0.155836057064123,"American Robin"
"bio1_annual_mean_temp",0.0533166231899522,"American Robin"
"bio11_mean_temp_coldest_quarter",0.0493701314586215,"American Robin"
"bio10_mean_temp_warmest_quarter",0.03924466043344,"American Robin"
"bio17_precip_driest_quarter",0.0382371283089742,"American Robin"
"bio6_min_temp_coldest_month",0.0302644573405851,"American Robin"
"bio9_mean_temp_driest_quarter",0.0295461789533438,"American Robin"
"bio2_mean_diurnal_range",0.0289096799045801,"American Robin"
"bio5_max_temp_warmest_month",0.0242337189149112,"American Robin"
"bio3_isothermality",0.0235985175833339,"American Robin"
"bio18_precip_warmest_quarter",0.0221411063033738,"American Robin"
"bio7_temp_annual_range",0.0148983118269825,"American Robin"
"bio12_annual_precip",0.0126635600692825,"American Robin"
"bio14_precip_driest_month",0.00829115380672738,"American Robin"
"bio15_precip_seasonality",0.00758086176641518,"American Robin"
"bio8_mean_temp_wettest_quarter",0.00734038153733127,"American Robin"
"bio16_precip_wettest_quarter",0.00633968573168386,"American Robin"
"bio19_precip_coldest_quarter",0.00540400956966914,"American Robin"
"bio13_precip_wettest_month",0.00530539408675395,"American Robin"
"bio4_temp_seasonality",0.00386649230643525,"American Robin"
"land_cover",0.555879326179624,"Steller's Jay"
"bio10_mean_temp_warmest_quarter",0.298194756349316,"Steller's Jay"
"bio5_max_temp_warmest_month",0.174444764117012,"Steller's Jay"
"bio12_annual_precip",0.117097610201337,"Steller's Jay"
"bio15_precip_seasonality",0.110463003622368,"Steller's Jay"
"bio9_mean_temp_driest_quarter",0.0981265151137486,"Steller's Jay"
"bio13_precip_wettest_month",0.0882421651824843,"Steller's Jay"
"bio2_mean_diurnal_range",0.0763476393448655,"Steller's Jay"
"bio19_precip_coldest_quarter",0.0753162159054773,"Steller's Jay"
"bio18_precip_warmest_quarter",0.0748297347367043,"Steller's Jay"
"bio3_isothermality",0.0606347293670988,"Steller's Jay"
"bio6_min_temp_coldest_month",0.0580404492199887,"Steller's Jay"
"bio14_precip_driest_month",0.0574472698820755,"Steller's Jay"
"bio1_annual_mean_temp",0.0572737085109111,"Steller's Jay"
"bio7_temp_annual_range",0.048202051442524,"Steller's Jay"
"bio16_precip_wettest_quarter",0.046788090378046,"Steller's Jay"
"bio8_mean_temp_wettest_quarter",0.0366172897745273,"Steller's Jay"
"bio17_precip_driest_quarter",0.0343576114438474,"Steller's Jay"
"bio4_temp_seasonality",0.0258771245142561,"Steller's Jay"
"bio11_mean_temp_coldest_quarter",0.0199798875629203,"Steller's Jay"
"land_cover",0.155128252653638,"Red-tailed Hawk"
"bio12_annual_precip",0.0797318279911997,"Red-tailed Hawk"
"bio6_min_temp_coldest_month",0.0667580679776147,"Red-tailed Hawk"
"bio7_temp_annual_range",0.0509502403558581,"Red-tailed Hawk"
"bio17_precip_driest_quarter",0.0428495534984395,"Red-tailed Hawk"
"bio11_mean_temp_coldest_quarter",0.038562685886398,"Red-tailed Hawk"
"bio4_temp_seasonality",0.0302165809395956,"Red-tailed Hawk"
"bio2_mean_diurnal_range",0.0267561780459364,"Red-tailed Hawk"
"bio18_precip_warmest_quarter",0.0263895214802469,"Red-tailed Hawk"
"bio13_precip_wettest_month",0.0243327402116265,"Red-tailed Hawk"
"bio5_max_temp_warmest_month",0.0206777509776803,"Red-tailed Hawk"
"bio14_precip_driest_month",0.0203566280858358,"Red-tailed Hawk"
"bio9_mean_temp_driest_quarter",0.0177087508038967,"Red-tailed Hawk"
"bio19_precip_coldest_quarter",0.0167198675741674,"Red-tailed Hawk"
"bio15_precip_seasonality",0.0157441667275853,"Red-tailed Hawk"
"bio8_mean_temp_wettest_quarter",0.0156461282572127,"Red-tailed Hawk"
"bio3_isothermality",0.0145265954095521,"Red-tailed Hawk"
"bio10_mean_temp_warmest_quarter",0.0113648822076066,"Red-tailed Hawk"
"bio16_precip_wettest_quarter",0.0103629096127988,"Red-tailed Hawk"
"bio1_annual_mean_temp",0.00874117163043411,"Red-tailed Hawk"
"land_cover",0.246214122627862,"Spotted Towhee"
"bio12_annual_precip",0.137079112773412,"Spotted Towhee"
"bio9_mean_temp_driest_quarter",0.124367779470864,"Spotted Towhee"
"bio17_precip_driest_quarter",0.10837358289212,"Spotted Towhee"
"bio6_min_temp_coldest_month",0.0899833284346387,"Spotted Towhee"
"bio1_annual_mean_temp",0.068603619143134,"Spotted Towhee"
"bio2_mean_diurnal_range",0.0632591999608558,"Spotted Towhee"
"bio16_precip_wettest_quarter",0.0628755126066972,"Spotted Towhee"
"bio18_precip_warmest_quarter",0.0619110104148276,"Spotted Towhee"
"bio11_mean_temp_coldest_quarter",0.0553734013000503,"Spotted Towhee"
"bio10_mean_temp_warmest_quarter",0.0547110160286538,"Spotted Towhee"
"bio5_max_temp_warmest_month",0.0535120905442163,"Spotted Towhee"
"bio15_precip_seasonality",0.0510953478785232,"Spotted Towhee"
"bio19_precip_coldest_quarter",0.0483756735327188,"Spotted Towhee"
"bio4_temp_seasonality",0.0472619232876459,"Spotted Towhee"
"bio8_mean_temp_wettest_quarter",0.0440595828822115,"Spotted Towhee"
"bio7_temp_annual_range",0.0416959135646466,"Spotted Towhee"
"bio3_isothermality",0.0404238433963619,"Spotted Towhee"
"bio13_precip_wettest_month",0.0278161618639715,"Spotted Towhee"
"bio14_precip_driest_month",0.0203152110950323,"Spotted Towhee"
"land_cover",0.714208338595927,"Western Meadowlark"
"bio12_annual_precip",0.411084757506847,"Western Meadowlark"
"bio2_mean_diurnal_range",0.153438887091121,"Western Meadowlark"
"bio5_max_temp_warmest_month",0.111313064032467,"Western Meadowlark"
"bio4_temp_seasonality",0.103561092618795,"Western Meadowlark"
"bio10_mean_temp_warmest_quarter",0.0888238598748285,"Western Meadowlark"
"bio13_precip_wettest_month",0.0806935414341278,"Western Meadowlark"
"bio18_precip_warmest_quarter",0.0770723873841926,"Western Meadowlark"
"bio3_isothermality",0.0666038383704727,"Western Meadowlark"
"bio14_precip_driest_month",0.0647600325603853,"Western Meadowlark"
"bio15_precip_seasonality",0.0643375138269039,"Western Meadowlark"
"bio6_min_temp_coldest_month",0.0630165670751594,"Western Meadowlark"
"bio8_mean_temp_wettest_quarter",0.0581510103013134,"Western Meadowlark"
"bio7_temp_annual_range",0.0541997056859545,"Western Meadowlark"
"bio11_mean_temp_coldest_quarter",0.0532239053623634,"Western Meadowlark"
"bio1_annual_mean_temp",0.0524935018943506,"Western Meadowlark"
"bio17_precip_driest_quarter",0.0435673280452902,"Western Meadowlark"
"bio9_mean_temp_driest_quarter",0.0409829478641041,"Western Meadowlark"
"bio19_precip_coldest_quarter",0.0374746427833161,"Western Meadowlark"
"bio16_precip_wettest_quarter",0.0307767356445547,"Western Meadowlark"
